"End Member Brine core microbiome OTUs (99% level) relative abundances, mean abundances and standard deviation, and Silva v128 classifications:"
,OTU Abundances (%),OTU Abundances (%),OTU Abundances (%),OTU Abundances (%),OTU Abundances (%),OTU Abundances (%),Silva v128 Classifications,Silva v128 Classifications,Silva v128 Classifications,Silva v128 Classifications,Silva v128 Classifications,Silva v128 Classifications
,EMB_04a,EMB_04b,EMB_04c,EMB_14,mean,std,Kingdom,Phylum,Class,Order,Family,Genus
Otu0172,0.2,0.15,0.26,0.01,0.16,0.1,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Lutibacter
Otu0195,0.08,0.32,0.19,0.06,0.16,0.12,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_Incertae_Sedis,Unknown_Family,uncultured
Otu0151,0.22,0.12,0.18,0.12,0.16,0.05,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,uncultured
Otu0214,0.06,0.4,0.18,0.01,0.16,0.17,Bacteria,Parcubacteria,Candidatus_Falkowbacteria,Candidatus_Falkowbacteria_or,Candidatus_Falkowbacteria_fa,Candidatus_Falkowbacteria_ge
Otu0190,0.16,0.15,0.17,0.05,0.13,0.05,Bacteria,Bacteroidetes,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified
Otu0244,0.05,0.37,0.07,0.04,0.13,0.16,Bacteria,Atribacteria,Atribacteria_cl,Atribacteria_or,Atribacteria_fa,Atribacteria_ge
Otu0215,0.14,0.3,0.04,0.01,0.12,0.13,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,OM1_clade,OM1_clade_ge
Otu0230,0.11,0.27,0.11,0.01,0.12,0.11,Bacteria,Bacteroidetes,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified
Otu0229,0.1,0.12,0.14,0.04,0.1,0.05,Archaea,DHVE6,DHVE6_cl,DHVE6_or,DHVE6_fa,DHVE6_ge
Otu0220,0.13,0.1,0.11,0.02,0.09,0.05,Bacteria,Proteobacteria,Betaproteobacteria,Betaproteobacteria_unclassified,Betaproteobacteria_unclassified,Betaproteobacteria_unclassified
Otu0266,0.1,0.2,0.06,0.01,0.09,0.08,Bacteria,Parcubacteria,Candidatus_Nomurabacteria,Candidatus_Nomurabacteria_or,Candidatus_Nomurabacteria_fa,Candidatus_Nomurabacteria_ge
Otu0238,0.12,0.1,0.08,0.04,0.09,0.03,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,uncultured,uncultured_ge
Otu0032,0.12,0.15,0.08,0.02,0.09,0.05,Bacteria,Actinobacteria,Actinobacteria,PeM15,PeM15_fa,PeM15_ge
Otu0048,0.12,0.12,0.08,0.05,0.09,0.03,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marinobacter
Otu0236,0.07,0.02,0.17,0.08,0.09,0.06,Bacteria,Bacteroidetes,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified
Otu0318,0.02,0.12,0.14,0.01,0.07,0.07,Bacteria,Acidobacteria,Holophagae,Subgroup_7,Subgroup_7_fa,Subgroup_7_ge
Otu0324,0.03,0.2,0.04,0.01,0.07,0.09,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,uncultured
Otu0209,0.21,0.02,0.06,0.01,0.07,0.09,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,Gaiella
Otu0069,0.16,0.05,0.04,0.03,0.07,0.06,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingorhabdus
Otu0301,0.06,0.07,0.06,0.04,0.06,0.02,Bacteria,Bacteroidetes,Bacteroidetes_VC2.1_Bac22,Bacteroidetes_VC2.1_Bac22_or,Bacteroidetes_VC2.1_Bac22_fa,Bacteroidetes_VC2.1_Bac22_ge
Otu0138,0.13,0.05,0.03,0.01,0.06,0.05,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Thermomonas
Otu0257,0.03,0.15,0.01,0.06,0.06,0.06,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas
Otu0264,0.11,0.05,0.04,0.01,0.05,0.04,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Lutibacter
Otu0316,0.05,0.05,0.03,0.06,0.05,0.01,Bacteria,Tenericutes,Mollicutes,NB1-n,NB1-n_fa,NB1-n_ge
Otu0189,0.06,0.05,0.08,0.01,0.05,0.03,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_Incertae_Sedis,Unknown_Family,Thiohalophilus
Otu0333,0.07,0.1,0.03,0.01,0.05,0.04,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,OM1_clade,OM1_clade_ge
Otu0340,0.06,0.1,0.03,0.01,0.05,0.04,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,Gaiella
Otu0411,0.02,0.02,0.09,0.01,0.04,0.04,Bacteria,Candidatus_Berkelbacteria,Candidatus_Berkelbacteria_cl,Candidatus_Berkelbacteria_or,Candidatus_Berkelbacteria_fa,Candidatus_Berkelbacteria_ge
Otu0544,0.01,0.12,0.01,0.01,0.04,0.06,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
Otu0449,0.04,0.05,0.02,0.01,0.03,0.02,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,uncultured
Otu0497,0.02,0.02,0.04,0.01,0.02,0.01,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,DEV007,DEV007_ge
Otu0638,0.02,0.02,0.02,0.01,0.02,0.01,Archaea,DHVE6,DHVE6_cl,DHVE6_or,DHVE6_fa,DHVE6_ge
